2276
qstr_{reg61}.0{reg62} {reg61}.0{reg62}
qstr_{reg61}.{reg62} {reg61}.{reg62}
qstr_Shot_distance:_{s1}_ Shot_distance:_{s1}_meters.
qstr_Next_Page Next_Page
qstr_Mod_Options Mod_Options
qstr_Full_PBOD^Features Full_PBOD^Features
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_the_{s4}_wis {s3}_of_the_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_the_{s3}.
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_{s0}__{s50}_ {s0}_({s50})
qstr_None None
qstr_{s55}__{reg0}%_ {s55}_({reg0}%)
qstr_{s55} {s55}
qstr_Wages_for_your_Shipc Wages_for_your_Shipcrew's:
qstr_Staff: Staff:
qstr_Tributes_from_your_n Tributes_from_your_nobles:
qstr_You_paid_{reg0}_cash You_paid_{reg0}_cash_to_liquidate_a_debt
qstr_Earlier_cash: Earlier_cash:
qstr_New_cash: New_cash:
qstr_Done Done
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg1}
qstr_{s1}^HP:_{reg1}/{reg {s1}^HP:_{reg1}/{reg2}
qstr_{s1} {s1}
qstr_Weapon_upgrade_setti Weapon_upgrade_settings:
qstr_Apply_to_everyone Apply_to_everyone
qstr_Upgrade_armor_ Upgrade_armor_
qstr_Upgrade_horse_ Upgrade_horse_
qstr_Price_threshold_of_i Price_threshold_of_items_for_picking:
qstr_Select_your_domestic Select_your_domestic_policy
qstr_Centralization: Centralization:
qstr_Aristocracy: Aristocracy:
qstr_Serfdom: Serfdom:
qstr_Troop_quality: Troop_quality:
qstr_Mercantilism: Mercantilism:
qstr_High_centralization_ High_centralization_reduces_tax_inefficiency_for_the_king_and_raises_it_for_vassals._This_will_interfere__the_relations_between_ruler_and_vassals.
qstr_High_aristocracy_wil High_aristocracy_will_improve_the_relations_between_the_king_and_his_vassals_who_will_be_able_to_raise_bigger_armies_but_it_will_decreased_trade.
qstr_High_serfdom_reduces High_serfdom_reduces_tax_inefficiency_for_the_king_and_his_vassals_and_vassals_can_maintain_bigger_armies_but_troops_loose_moral.
qstr_High_troop_quality_i High_troop_quality_increases_the_strength_of_troops_but_decreases_army_size.
qstr_Mercantilistic_polic Mercantilistic_policies_maximize_exports_while_minimizing_imports,_and_increase_government_regulation_of_industry.
qstr_Cancel Cancel
qstr_Dictate_the_peace_te Dictate_the_peace_terms
qstr_Select_the_castle_an Select_the_castle_and_the_amount_of_money_and_check_the_boxes_to_activate_the_demand._The_demands_are_combined_if_both_boxes_are_checked.
qstr_1000_denars 1000_denars
qstr__Faction_Relations_R _Faction_Relations_Report_
qstr__Return_to_menu_ _Return_to_menu_
qstr_Your_kingdom Your_kingdom
qstr_Player^Relation Player^Relation
qstr_{!}DEBUG___Drawing_l {!}DEBUG_-_Drawing_line_{reg20}
qstr_War War
qstr_Casus_Belli Casus_Belli
qstr_Peace Peace
qstr_Truce Truce
qstr_Alliance Alliance
qstr_Defense Defense
qstr_Trade Trade
qstr_{reg59?{reg59}_days: {reg59?{reg59}_days:}
qstr_{reg61} {reg61}
qstr_Grand_Principality Grand_Principality
qstr_{s9} {s9}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{reg1} {reg1}
qstr_{s3} {s3}
qstr_{reg61}_{reg58?_{reg {reg61}_{reg58?({reg58}_U)_:}Centers
qstr_{reg62}_Caravans {reg62}_Caravans
qstr_{reg60}_{reg59?_{reg {reg60}_{reg59?({reg59}_P)_:}Lords
qstr_Sell_items_automatic Sell_items_automaticly_when_leaving:
qstr_Price_limit_for_auto Price_limit_for_auto-sell:
qstr_Item_types_for_auto_ Item_types_for_auto-sell:
qstr_Select_all Select_all
qstr_Select_invert Select_invert
qstr_{s1}^HP:_{reg0} {s1}^HP:_{reg0}
qstr_Attributes: Attributes:
qstr_{s3}^STR:_{reg1}^INT {s3}^STR:_{reg1}^INT:_{reg2}^^Skills:
qstr_{s3}^Power_Strike:_{ {s3}^Power_Strike:_{reg1}^Power_Draw:_{reg2}^Power_Throw:_{reg3}^Horse_Archery:_{reg4}^^Weapon_Proficiencies:
qstr_{s3}^1_Hand_Wpns:_{r {s3}^1_Hand_Wpns:_{reg1}^2_Hand_Wpns:_{reg2}^Polearms:_{reg3}
qstr_{s4}^AGI:_{reg1}^CHA {s4}^AGI:_{reg1}^CHA:_{reg2}^^
qstr_{s4}^Ironflesh:_{reg {s4}^Ironflesh:_{reg1}^Athletics:_{reg2}^Shield:_{reg3}^Riding:_{reg4}^^
qstr_{s4}^Archery:_{reg1} {s4}^Archery:_{reg1}^Crossbows:_{reg2}^Throwing:_{reg3}
qstr_{s4} {s4}
qstr_Equipments:_ Equipments:_
qstr_One_Handed_Weapons One-Handed_Weapons
qstr_Two_Handed_Weapons Two-Handed_Weapons
qstr_Polearms Polearms
qstr_Ranged_Weapons Ranged_Weapons
qstr_Shields Shields
qstr_Helmets Helmets
qstr_Armors Armors
qstr_Boots Boots
qstr_Gauntlets Gauntlets
qstr_Horses Horses
qstr_Please_reselect_a_co Please_reselect_a_companion_as_the_commander_for_the_comming_battle.^^Current_commander:_{s0}.
qstr_Arms: Arms:
qstr_{s2}^None {s2}^None
qstr_{s2}^{s3} {s2}^{s3}
qstr_{s2}^{s4}{s3} {s2}^{s4}{s3}
qstr_{s2}^^Outfits: {s2}^^Outfits:
qstr_{s2}^^Horse: {s2}^^Horse:
qstr_{s2} {s2}
qstr_{reg1}^money_in_the_ {reg1}^money_in_the_chest
qstr_{reg2}^money_in_your {reg2}^money_in_your_inventory
qstr_Withdraw Withdraw
qstr_Deposit Deposit
qstr_You_can_recruit_troo You_can_recruit_troops_of_{s1}_for_this_{reg6?castle:town}._Recruiting_will_costs_{reg4}_denars_and_will_require_at_least_one_day._You_have_{reg1}_denars_left_here_(can_recruit_for_{reg2}_{reg3?times:time})_and_have_{reg5}_denars_in_your_coffers.
qstr_Decrease_times_of_re Decrease_times_of_recruiting
qstr_Increase_times_of_re Increase_times_of_recruiting
qstr_Sovereign_color_of_t Sovereign_color_of_the_{s0}:
qstr_Red: Red:
qstr_Green: Green:
qstr_Blue: Blue:
qstr__ _
qstr_HTML_code:_{s0} HTML_code:_{s0}
qstr_Default Default
qstr_Randomize Randomize
qstr_{s1}_{reg3}/{reg2}_ {s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_ {s1}({reg2})
qstr_Move_to_Top Move_to_Top
qstr_Move_Up Move_Up
qstr_Move_Down Move_Down
qstr_Move_to_Bottom Move_to_Bottom
qstr_Buy_foods_automaticl Buy_foods_automaticly_when_leaving:
qstr_* *
qstr_Character_Background Character_Background
qstr_Your_story: Your_story:
qstr_Your_gender: Your_gender:
qstr_Your_father_was: Your_father_was:
qstr_You_spent_your_early You_spent_your_early_life_as:
qstr_Later_you_became: Later_you_became:
qstr_The_reason_for_an_ad The_reason_for_an_adventure:
qstr_female female
qstr_male male
qstr_a_thief a_thief
qstr_a_steppe_nomad a_steppe_nomad
qstr_a_hunter a_hunter
qstr_a_veteran_warrior a_veteran_warrior
qstr_a_travelling_merchan a_travelling_merchant
qstr_an_impoverished_nobl an_impoverished_noble
qstr_a_steppe_child a_steppe_child
qstr_a_street_urchin a_street_urchin
qstr_a_shop_assistant a_shop_assistant
qstr_a_craftsman_s_appren a_craftsman's_apprentice
qstr_a_page_at_a_nobleman a_page_at_a_nobleman's_court
qstr_a_game_poacher a_game_poacher
qstr_a_smith a_smith
qstr_a_goods_peddler a_goods_peddler
qstr_a_university_student a_university_student
qstr_a_troubadour a_troubadour
qstr_a_squire a_squire
qstr_a_lady_in_waiting a_lady-in-waiting
qstr_lust_for_money_and_p lust_for_money_and_power
qstr_being_forced_out_of_ being_forced_out_of_your_home
qstr_wanderlust wanderlust
qstr_the_loss_of_a_loved_ the_loss_of_a_loved_one
qstr_personal_revenge personal_revenge
qstr_Conscript_quality: Conscript_quality:
qstr_High_centralization_r High_centralization_reduces_tax_inefficiency_for_the_sovereign_and_raises_it_for_vassals._This_will_interfere__the_relations_between_ruler_and_vassals.
qstr_High_aristocracy_will High_aristocracy_will_improve_the_relations_between_the_sovereign_and_his_vassals_who_will_be_able_to_raise_larger_armies_but_it_will_decreased_trade_capabilities_with_a_disenfranchised_merchant_class.
qstr_High_serfdom_reduces_ High_serfdom_reduces_tax_inefficiency_for_the_sovereign_and_his_vassals_and_vassals_can_maintain_larger_armies_but_soldiers_lose_morale.
qstr_{reg0}_denars {reg0}_denars
qstr__Sovereignty_Relatio _Sovereignty_Relations_Report_
qstr_Your_sovereignty Your_sovereignty
qstr__Courtships_in_progr _Courtships_in_progress_
qstr__Known_Lords_by_Rela _Known_Lords_by_Relation_
qstr__Character_&_Compani _Character_&_Companions_
qstr__Done_ _Done_
qstr_Your_supporters Your_supporters
qstr_Swadians Swadians
qstr_Vaegirs Vaegirs
qstr_Khergits Khergits
qstr_Nords Nords
qstr_Rhodoks Rhodoks
qstr_Sarranids Sarranids
qstr_All_Sovereignties All_Sovereignties
qstr__Back_to_shop_ _Back_to_shop_
qstr_Strength Strength
qstr_Riding Riding
qstr_Pdraw Pdraw
qstr_Pthrow Pthrow
qstr_1_hand 1-hand
qstr_2_hand 2-hand
qstr_Polearm Polearm
qstr_Archery Archery
qstr__X_bow_ _X-bow_
qstr_Throwing_ Throwing_
qstr___Firearms __Firearms
qstr__Mode _Mode
qstr__to_next_lvl_ (to_next_lvl)
qstr__1.3_ _1.3_
qstr_If_you_can_see_this_ If_you_can_see_this,_buy_a_new_cpu.
qstr___Weapons_ _-Weapons-
qstr___Armor_ _-Armor-
qstr_________________n/a_ ________________n/a________________
qstr_Rides Rides
qstr_Walks Walks
qstr_Startpage_set__Quick Startpage_set_(Quick_View)
qstr_Back_to_shop Back_to_shop
qstr__[?]_ _[?]_
qstr_Hotkeys:^HOME_=_Set_ Hotkeys:^HOME_=_Set_startpage^RMB_=_Exit_to_menu^ESCAPE_=_Quick_View^BACKSPACE_=_Back_to_shop_(if_visited)
qstr___Quit2__ -_Quit2_-
qstr__Quick_View_ _Quick_View_
qstr_______ ______
qstr_Attributes Attributes
qstr_Skills Skills
qstr_Proficiencies Proficiencies
