infopagesfile version 1
14
ip_mod_tips Tips 1._You_can_select_a_character_in_your_party_as_the_commander_for_battles_and_control_him/her_to_fight_in_battles_personally._^^2._In_auto-loot_menu,_you_can_let_characters_select_equipments_automaticly,_also_you_can_talk_to_them_to_tell_them_how_to_upgrade_their_equipments._^^3._Companions_can_also_read_books,_and_you_can_use_auto-loot_to_let_them_to_select_and_read_readable_books_automaticly._^^4._You_can_adjust_raining_and_snowing_possibilities_in_Camp_options._Snowing_for_snowlands_and_raining_for_the_other_lands._^^5._During_auto-sell,_items_in_the_inventory_of_companions_which_selected_as_the_type_for_sell_and_their_prices_below_the_auto-sell_price_limit_will_be_sold_to_all_merchants_in_towns_or_the_elders_in_villages_automaticly._Specifically_foods,_trade_goods_and_books_will_never_be_sold._^^6._To_quickly_move_members_or_upgrade_members_in_party_window,_hold_down_the_control_key_while_you_left_click._^^7._All_parties_can_reinforce_their_ally_like_Lord_parties_and_they_can_join_in_the_battle_directly._^^8._If_you_enounter_stronger_enemies_and_leaving_some_soldiers_behind_to_cover_your_retreat_or_after_escaping,_the_movement_speed_will_be_twice_the_normal_speed_for_half_an_hour_(game_time),_then_it_will_return_to_normal._^^9._The_total_weight_of_equipments_will_affect_the_archery,_riding_and_horse_archery_skills._^^10._You_can_order_your_soldiers_to_move_to_a_spot_by_pressing_and_holding_down_the_F1_key._^^11._Horses_and_men_move_less_quickly_in_rainy_weather._^^12._You_can_wait_on_the_world_map_by_holding_down_the_space_bar._^^13._You_can_recruit_new_men_to_your_party_in_taverns._^^14._You_can_give_orders_to_your_party_while_in_battle._^^15._A_party_with_high_morale_moves_more_quickly_while_travelling_on_the_map._^^16._Wounded_party_members_will_heal_faster_while_resting_in_taverns._^^17._To_quickly_buy_and_sell_items_in_the_inventory_window,_hold_down_the_control_key_while_you_left_click._^^18._You_can_press_the_Backspace_key_during_battle_to_bring_up_the_command_interface._^^19._You_will_pay_half_wages_to_your_troops_while_you_are_staying_in_a_town_or_castle._Similarly,_you_will_pay_half_wages_to_troops_you_garrison_in_a_castle._^^20._You_can_leave_any_location_instantly_by_pressing_the_tab_key._^^21._You_can_hold_down_the_shift_key_to_zoom-in_while_aiming_at_distant_enemies.
ip_troop_tree Troop_Tree The_troop_tree_is_the_backbone_for_each_faction:_it_is_the_way_soldiers_are_trained._And_of_course_we_all_know_that_better_soldiers_mean_the_difference_between_victory_and_rotting_in_a_cell_deep_in_Khudan._Each_faction_has_its_own_troop_tree,_showing_the_way_they_train_their_men._It_is_thus_important_to_understand_the_thought_behind_these_trees,_the_'philosophy_of_troop_trees'.^^When_you_look_at_the_different_trees,_they_might_seem_large_and_intimidating._But_rest_assured:_there_is_a_logic_behind_it._It_all_rests_on_three_basic_principles:_1._it_takes_a_lot_of_time_and_money_to_train_really_good_soldiers,_2._soldiers_are_people_who_can_choose_to_specialise,_or_to_widen_their_view,_and_3._each_faction_has_their_own_kind_of_training_methods._Let's_have_a_closer_look_at_those_three_points.^^The_first_principle_says_that_it_takes_a_lot_of_time_and_money_to_train_the_best_soldiers_you_could_wish_for._In_Mount_&_Blade:_Warband_this_is_already_reflected_in_the_levels._To_get_a_level_30_knight_you'd_need_to_train_your_recruit_for_quite_a_long_time._The_money_this_training_costs,_on_the_other_hand,_isn't_that_well_reflected._Yes,_the_better_a_unit_is,_the_higher_the_upkeep,_but_that's_a_fact_ones_a_part_of_the_training_is_completed._To_get_there,_you_need_to_pay_for_upgrades._Your_better_soldier_needs_better_equipment,_and_training_also_costs_a_lot._These_high_training_costs_are_here_reflected_in_many_upgrades_you'll_have_to_make_before_you_have_the_best_soldiers_possible._To_go_from_recruit_to_the_best_unit,_you'll_need_to_pay_six_times_upgrade_costs._Each_step_along_the_way_I_call_a_'tier'._This_means_that_each_troop_tree_has_seven_'tiers',_with_the_first_being_the_recruit_and_the_last,_the_so-called_'top-tier_unit',_being_the_best_soldier_possible._So_those_many_steps_from_beginning_till_end_you_see_in_the_troop_tree_are_actually_that_long_training_your_soldier_recieves_in_his_life_in_your_service.^^The_second_principle_says_that_soldiers_are_people_too,_with_their_own_wishes_and_carreer_prospects._Of_course,_if_you_want_to_become_the_best_possible_archer_in_history,_you'll_need_to_train_for_a_very_long_time._But_what_if_you_started_the_training,_but_discover_you_really_don't_like_staying_behind_to_shoot_people:_you'd_rather_run_towards_the_enemy_and_slaughter_them_face_to_face._You_could_stop_your_archery_training_and_start_a_new_one,_learning_how_to_handle_a_sword._Of_course_you_won't_be_as_good_as_someone_who_had_started_his_sword_training_right_from_the_start,_but_you_have_other_skills_too,_from_your_archery_training._These_possibilities_and_choices_life_offers,_are_in_the_troop_trees_reflected_by_the_width_of_the_tree._You_could_start_with_a_certain_training,_but_it_is_possible_to_do_something_completely_different_along_the_way.^^The_third_principle_says_that_each_faction_has_its_own_kind_of_training_methods._In_the_troop_trees_that_means_that_each_faction_has_different_kinds_of_top-tier_units,_and_has_different_kinds_of_weaponry._Let's_have_a_look_at_each_of_the_factions:^^Swadia._Based_on_both_England_and_France,_they_have_specialized_in_their_knights_and_longbows._This_is_reflected_in_the_long_training_the_recruits_receive_in_both_polearms_and_bows._Their_pikemen_aren't_as_well_trained_as_their_knights:_most_of_them_step_upon_a_horse_and_continue_to_ride_their_lances,_instead_of_walking_with_them._Also_there_are_soldiers_who_wield_the_two-handed_claymores._They_are_better_than_those_pikemen,_but_not_as_good_as_the_knights_or_longbowmen.^^Vaegir._Based_on_the_early_Russians,_they_too_have_specialised_in_strong_knights._But_they_have_learned_a_trick_or_two_from_the_Khergit,_since_they_can_not_only_wield_bows_well_too,_but_also_mount_them._Their_weakness_lies_in_footsoldiers_with_one-handed_weapons,_be_it_hammers_or_swords.^^Khergit._The_Mongols_of_Calradia._They_live_and_die_on_their_horses,_so_it's_no_suprise_that_both_their_top-tier_units_are_mounted._Early_on_they_specialise_in_one-handed_swords_or_bows.^^Nord._Based_on_Scandinavia_and_the_old_Vikings._They_are_the_opposite_of_the_Khergit:_you_won't_find_any_mounted_troops_with_the_Nords._Instead_they_train_with_spears_and_axes,_and_master_the_art_of_throwing_them_too._There_are_some_Nord_archers,_but_they_are_considered_the_lowest_kind_of_soldiers.^^Rhodok._Based_on_several_Italian_city_states,_such_as_Venice_and_Genoa._Like_the_Nord_they_don't_have_many_horses_in_their_ranks._They_compensate_that_by_training_hard_with_their_one-handed_swords_and_a_wide_spectrum_of_different_crossbows._Also_they_have_some_heavy_spear_training.^^Sarranid._Based_on_the_Ottman_and_Egypt_Islamic_Empires,_they_know_their_way_around_with_scimitars._Just_like_the_Khergit_they_know_how_to_mount_archers,_but_they_also_learned_to_train_some_really_heavy_knights._Their_uniqueness_lies_in_their_maces.^^Mercenaries._Based_on_the_Holy_Roman_Empire._As_a_faction_without_land,_they_are_for_sale_to_anyone._Their_training_is_not_as_extensive_as_the_other_factions,_but_their_unique_weaponry_make_them_a_good_alternative_to_fill_your_ranks:_from_Swiss_pikemen_and_German_zweihanders_to_Teutonic_knights_and_even_crossbowmen.^^Women._Never_underestimate_a_woman,_especially_those_from_the_Holy_Roman_Empire._These_women_are_like_mercenaries,_but_with_other_weaponry._Bows,_hammers_and_one-handed_swords_are_their_choices_on_the_field.^^As_you_can_see,_the_different_factions_all_have_their_strengths_and_weaknesses,_while_some_even_heave_weapons_in_their_arsenal_you_won't_find_elsewhere._This_is_exactly_what_I_meant_when_I_said_that_each_faction_has_his_own_training_methods.^^I_hope_you_can_now_understand_why_the_troop_trees_are_so_extensive._You_won't_be_just_upgrading_your_units_to_better_soldiers:_you_will_give_them_a_training_to_your_liking,_creating_a_truly_unique_army._You'll_have_to_think_about_your_men's_training,_giving_the_game_an_entire_new_dimension.
ip_dplmc_info Diplomacy_Mod The_Diplomacy_mod_adds_some_features_to_the_game.__Most_of_them_are_accessed_via_your_minister_and_several_new_potential_employees:_a_chamberlain,_a_constable,_and_a_chancellor.__You_gain_the_opportunity_to_hire_a_chamberlain_when_you_get_your_first_village,_a_constable_when_you_gain_your_first_castle,_and_a_chancellor_when_you_gain_your_first_town.__If_you_dismiss_one_of_your_employees,_you_may_be_able_to_rehire_them_through_a_well-connected_spouse_or_one_of_the_travellers_who_frequent_the_taverns_of_Calradia.^^Aside_from_these_the_mod_has_other_features_as_well,_which_can_be_accessed_from_the_Camp_menu.^^This_mod_uses_Diplomacy_Version_4.2_(November_27,_2011).
ip_dplmc_autoloot Autoloot Autoloot_settings_are_managed_through_the_camp_menu.__It_allows_you_to_have_your_companions_(named_heroes,_not_ordinary_soldiers)_automatically_select_equipment_from_the_loot_after_a_battle.__In_order_for_this_feature_to_be_enabled,_one_of_the_following_must_be_true:_someone_in_your_party_must_have_a_Looting_score_of_2_or_better,_someone_in_your_party_must_have_an_Inventory_Management_score_of_3_or_better,_or_the_player_himself_must_have_an_Inventory_Management_score_of_2_or_better.
ip_dplmc_autosell Autosell The_Autosell_feature_allows_you_to_sell_many_items_to_a_merchant_all_at_once,_instead_of_selling_them_one_at_a_time.__Autosell_settings_are_managed_through_the_Town_menu,_where_you_can_specify_which_types_of_items_you_want_to_be_able_to_sell_(e.g._you_might_not_want_to_automatically_sell_horses)_and_a_price_limit_(for_example,_you_might_not_want_to_automatically_sell_any_items_that_cost_more_than_200_denars).^^_There_are_two_primary_ways_to_use_autosell.__If_you_speak_to_a_Horse_Merchant,_Armorer,_or_Weapon_Merchant_in_a_town,_there_is_a_conversation_option_to_sell_items_of_a_particular_type.__Also,_when_visiting_a_town_there_will_be_an_option_in_the_Marketplace_section_of_the_menu_to_automatically_sell_your_items_throughout_the_town.^^_For_people_who_used_Autosell_in_other_mods,_note_that_this_sells_from_your_own_inventory,_according_to_certain_rules.__Items_you_have_equipped_will_never_be_sold,_and_neither_will_the_first_three_items_in_your_inventory.__After_that,_autosell_also_skips_anything_that_it_thinks_might_be_your_personal_equipment_(since_people_often_have_more_than_one_set).__Regardless_of_whether_you_have_them_equipped,_it_won't_sell_your_best_bow,_crossbow,_armor,_helmet,_boots,_or_gloves.__If_you_have_a_bow_you_can_use,_it_won't_sell_your_best_three_packs_of_arrows,_and_if_you_have_a_crossbow_it_won't_sell_your_best_three_packs_of_bolts.__For_shields,_one-handed_weapons,_two-handed_weapons,_polearms,_and_horses,_it_won't_sell_your_best_or_second-best_item.__Your_best_three_throwing_weapons_also_will_not_be_sold.__However,_items_that_your_character_is_unable_to_use_are_considered_fair_game.
ip_morale Morale Morale_represents_the_ability_and_willingness_of_the_troops_in_a_party_to_summon_up_the_endurance,_bravery,_and_discipline_they_need_to_face_the_stresses_of_battle_and_the_march._It_is_not_the_same_thing_as_the_troops'_happiness._Elite_troops_may_grumble_and_whine_about_the_hardships_of_campaigning_--_but_then_stand_together_as_one_when_the_arrows_start_to_fly._On_the_other_hand,_a_commander_who_gives_his_men_everything_they_want_may_find_that_they_grow_soft,_and_waiver_before_the_enemy's_charge.^^_Morale's_greatest_impact_is_on_a_party's_behavior_in_battle,_determining_how_aggressively_troops_engage_the_enemy,_and_how_likely_they_are_to_break_and_run_if_they_perceive_the_tide_of_battle_turning_against_them._Morale_also_affects_a_party's_march_speed,_as_a_less_motivated_party_will_move_more_slowly,_as_the_men_are_not_pushing_themselves_to_their_physical_limit,_and_pause_more_frequently,_as_it_waits_for_stragglers_to_catch_up._Finally,_a_party_with_very_low_morale_will_start_to_suffer_desertions.^^_Some_factors_that_affect_morale_are_intuitive._For_example,_a_charismatic_commander_with_a_reputation_for_winning_battles_can_infuse_his_or_her_men_with_a_sense_of_confidence._Leaders_who_give_their_men_well_ample_and_varied_supplies_of_food,_and_pay_them_on_time,_demonstrate_that_they_care_about_their_troops'_welfare,_and_are_less_likely_to_lead_them_into_disaster.^^_Other_factors_are_less_intuitive_--_particularly_those_related_to_a_party's_sense_of_group_cohesion._In_a_small_tight-knit_party,_for_example,_men_will_often_fight_hard_against_daunting_odds_to_avoid_showing_cowardice_before_their_comrades-in-arms._A_large_party_on_the_other_hand_may_see_its_cohesion_strained,_as_the_commander_has_less_time_to_supervise_the_men,_listen_to_their_grievances,_and_resolve_their_disputes._Frequent_battles_will_strengthen_the_bonds_between_men,_while_long_periods_without_combat_will_see_the_troops_become_bored_and_quarrelsome.^^_The_morale_report,_accessibly_by_hitting_the_'reports'_button_will_give_the_player_a_sense_of_the_factors_affecting_his_or_her_men's_morale.
ip_economy Economy Towns_and_villages_in_Calradia_need_a_wide_variety_of_goods_for_their_populations_to_remain_healthy_and_productive._First_in_importance_is_food._Grain_is_the_staple_crop_of_Calradia,_but_people_also_need_fat_and_protein_in_the_form_of_meat,_fish,_or_cheese._It_takes_almost_as_much_work_to_preserve_meat_as_to_produce_it_in_the_first_place,_so_salt_is_also_in_high_demand._After_food_comes_clothing:_heavy_wool,_lighter_linens,_or_luxurious_velvet._Finally,_people_need_the_tools_of_their_trade:_ironware,_pottery,_leatherware,_and,_of_course,_arms,_armor,_and_horses_for_war.^^Most_agricultural_products_are_produced_in_the_villages,_while_artisans_in_the_towns_specialize_in_manufactured_or_artisanal_goods_like_fabrics_or_ironware._Also,_different_resources_can_be_found_in_different_parts_of_the_country._Consequently,_the_key_to_prosperity_in_Calradia_is_trade_--_both_between_the_villages_and_the_towns,_and_between_the_major_towns_themselves.^^When_trade_flows,_goods_will_be_available_and_affordable,_the_population_of_a_center_will_be_healthy_and_energetic,_and_migrants_will_flock_from_the_nearby_regions._The_center_will_produce_more,_consume_more,_and_be_able_to_contribute_more_in_taxes_to_their_lords._When_trade_dries_up,_towns_and_villages_will_see_their_workers_flee_to_seek_work_elsewhere,_and_economic_activity_will_drift_to_a_stand-still._Thus,_it_is_in_the_interests_of_rulers_to_protect_trade_routes_from_the_hazards_of_war_and_banditry._A_smart_merchant,_however,_may_want_to_seek_out_towns_which_have_become_isolated_from_the_rest_of_the_land,_as_he_or_she_may_be_able_to_turn_a_tidy_profit_from_the_resulting_price_imbalances.^^Because_villagers_usually_plan_to_take_their_goods_to_market_in_towns,_village_markets_will_be_rather_quiet_places,_and_villagers_will_buy_cheap_and_sell_dear._Serious_merchants_will_stick_to_the_towns_to_make_a_profit,_although_some_parties_may_decide_to_make_a_quick_stop_in_a_village_to_acquire_supplies.^^A_player_who_wants_to_know_about_the_factors_affecting_a_region's_prosperity_can_speak_to_the_guildmaster_of_the_local_town._Other_information_can_be_gleaned_from_passers-by,_although_they_might_not_know_very_much_outside_of_their_own_particular_trade.
ip_courtship Courtship Players_may_wish_to_marry_into_one_of_Calradia's_noble_families._Marriage_is_not_necessary_for_a_player_to_rise_in_power_and_stature,_but_it_does_provide_players_with_an_opportunity_to_improve_their_relation_with_lords_and_establish_a_claim_to_the_throne.^^Marriage_requirements_will_be_different_for_males_and_females._A_male_character_will_usually_need_to_pursue_a_traditional_path_of_courtship._He_should_establish_a_reputation_in_Calradian_aristocratic_society,_get_on_good_terms_with_his_bride's_parents_or_guardians,_and_then_woo_the_lady_according_to_local_custom._If_a_player_grows_impatient,_he_may_attempt_to_take_a_shortcut_--_but_there_will_be_consequences_in_his_relations_with_other_lords.^^A_male_character_should_keep_in_mind_that_other_lords_will_be_competing_with_him_for_the_affections_of_the_kingdom's_ladies._Also,_a_lady's_tastes_are_unpredictable,_and_a_player_may_also_find_that_the_object_of_his_love_does_not_love_him_in_return._Romance,_in_Calradia_as_elsewhere,_does_not_always_prosper._Of_course,_a_player_may_resort_to_other,_less_gentlemanly_means_of_winning_a_lady's_heart,_but_again,_that_will_have_a_serious_impact_on_his_reputation.^^To_get_started_on_the_path_of_courtship,_a_male_player_should_try_to_get_involved_in_the_social_life_of_the_Calradian_aristocracy,_attending_feasts_and_tournaments._Also,_wandering_troubadours_and_poets_can_serve_as_a_useful_repository_of_information_on_courtship,_and_keep_the_player_up_to_date_about_the_latest_gossip.^^Female_characters_can_also_marry_--_but_they_should_keep_in_mind_that_Calradian_society_is_very_traditional,_and,_as_adventurers,_they_have_chosen_a_very_unconventional_path_for_a_woman._A_female_character_may_have_to_look_for_a_while_to_find_a_lord_who_is_open-minded_enough_to_marry_her.^^On_the_bright_side,_a_female_character_does_not_have_to_go_through_the_elaborate_rituals_of_courtship,_and_she_also_may_gain_more_from_a_marriage_than_her_male_counterpart._For_a_woman_adventurer,_marriage_can_be_a_quick_path_to_power_--_and_an_unscrupulous_character_may_be_able_to_use_her_husband_as_a_tool_of_her_political_ambitions.
ip_politics Politics The_realms_of_Calradia,_although_they_represent_different_cultures,_all_adhere_to_the_same_basic_political_system:_feudalism._Feudalism_is_based_on_the_relationships_between_individuals:_the_oaths_of_loyalty_given_by_a_vassal_to_his_or_her_liege._In_exchange_for_this_oath,_the_vassal_will_usually_receive_a_fief,_a_parcel_of_land_whose_income_will_be_used_by_the_vassal_to_raise_troops_to_support_the_liege_in_time_of_war._A_liege_also_has_an_obligation_to_protect_his_vassals,_and_to_treat_them_justly.^^This_is_how_it_works_in_theory,_anyway._In_practice,_vassals_will_not_always_work_in_their_factions'_interests,_particular_as_they_are_often_quarreling_with_one_another._Nobles_have_different_personalities,_and_sometimes_those_personalities_clash._Or,_perhaps_two_nobles_were_once_friends,_but_fell_out_over_in_the_aftermath_of_a_setback_or_a_defeat_--_or_because_they_both_were_wooing_the_same_lady._Jealousies_will_also_surface_as_they_vie_for_the_favor_of_the_king_--_perhaps_over_newly_conquered_lands,_or_over_who_will_be_given_the_coveted_office_of_marshal,_the_lord_in_charge_of_organizing_large-scale_campaigns.^^When_one_realm_in_Calradia_makes_war_on_another,_the_political_unity_of_the_each_kingdom_is_as_important_as_the_quality_or_number_of_its_soldiers_in_determining_the_outcome._In_a_cohesive_kingdom,_nobles_will_join_together_in_a_large_force_to_sweep_their_opponents_before_them._In_a_kingdom_divided_by_petty_quarrels,_lords_will_fail_to_respond_to_the_marshal's_summons,_or_drift_away_to_attend_to_their_own_business_if_a_campaign_is_not_going_well._A_faction's_political_cohesion_will_also_impact_warfare_when_campaigns_are_not_in_progress._In_a_divided_faction,_lords_will_be_less_likely_to_join_together_on_raids_and_patrols,_and_come_to_each_other's_defense.^^If_it_seems_self-defeating_for_nobles_to_bicker_and_quarrel_when_the_enemy_is_just_over_the_horizon,_keep_this_in_mind_--_ultimately,_a_noble's_loyalty_goes_not_to_a_particular_faction_or_culture,_but_to_himself_and_to_his_family._If_a_noble_fears_that_his_faction_is_collapsing,_or_if_he_is_being_neglected_by_his_liege,_he_can_usually_find_a_reason_to_withdraw_his_oath_of_allegiance,_and_change_sides._Players_should_keep_this_in_mind,_as_they_may_find_that_there_are_opportunities_to_turn_discontented_former_enemies_into_allies.
