ip_mod_tips|Astuces
ip_mod_tips_text|1. Vous pouvez sélectionner un compagnon comme commandant et vous le contrôlerez comme votre propre personnage. ^^2. Dans le menu d'auto-récupération d'objets, vous pouvez laisser vos personnages choisir les récompenses automatiquement, mais vous pouvez également leur parler pour contrôler leur optimisation vous-même. ^^3. Vos compagnons peuvent également lire des livres, vous pouvez utiliser l'auto-récupération d'objets pour les laisser choisir et lire des livres. ^^4. Vous pouvez paramétrer la pluie/neige dans les options du campement. La neige pour certaines régions, la pluie pour les autres. ^^5. En utilisant la vente automatique, les objets de l'inventaire de vos compagnons sont compris dans la vente et seuls les objets compris en-dessous de la limite maximum seront vendus. Notamment, la nourriture, les objets commerciaux et les livres ne seront pas vendus. ^^6.  Pour déplacer rapidement les membres et les membres optimisés de la fenêtre de groupe , faites CTRL+CLIC GAUCHE. ^^7. Tous les groupes peuvent renforcer un autre groupe (ex : L'armée d'un Seigneur) et ils peuvent rejoindre une bataille immédiatement. ^^8. Si vous rencontrer un groupe d'ennemis trop fort pour vous, vous pouvez laisser quelques soldats couvrir votre retraite, votre vitesse de déplacement sera augmenté durant une demi-journée, puis vous retournerez à la normale. ^^9. Le poids de votre équipement affectera votre compétence de tir à l'arc, votre équitation et votre archerie montée. ^^10. Vous pouvez commander un déplacement à vos soldats en maintenant la touche F1. ^^11. Chevaux et troupes sont moins rapides par temps de pluie. ^^12. Vous pouvez attendre sur la carte du monde en laissant la barre d'espace enfoncée (CTRL+ESPACE pour accélérer). ^^13. Vous trouverez des troupes mercenaires entrainées dans des tavernes. ^^14. Vous pouvez diriger vos troupes en pleine bataille. ^^15. Un groupe avec un moral élevé se déplacera plus vite sur la carte du monde. ^^16. Les blessés se rétablissent plus vite dans une taverne. ^^17. Pour vendre/acheter rapidement, faites CTRL+CLIC GAUCHE. ^^18. Vous pouvez appuyer sur RETOUR pour ouvrir l'interface de commandement durant une bataille. ^^19. La solde de vos troupes est divisée par deux si vous attendez en ville ou si elles sont en garnison. ^^20. Vous pouvez quitté une zone en appuyant sur TABULATION. ^^21. En appuyant sur MAJUSCULE vous pouvez zoomer pour une meilleure précision.
ip_troop_tree|Arbre d'évolution des troupes
ip_troop_tree_text|L'arbre des troupes est la colonne de toutes factions. Il représente comment vos soldats évoluent. Et bien sur, de meilleurs soldats vous assureront la victoire. À l'inverse, des soldats inférieurs vous enverront au cachot de Khundan. Chaque faction à son propre arbre de troupes, vous dévoilant la manière dont vous pouvez faire évoluer vos hommes. Il est très important de comprendre cette arbre, c'est la « philosophie de l'arbre de troupes ».^^En regardant les différents arbres, ils peuvent sembler très grands et intimidant. Mais rassurez-vous, il y a une logique derrière tout ça. Voici les 3 règles de cet arbre. 1. Un bon soldat mettra un certain temps à être un soldat accompli, et il ne coutera pas 3 francs et 6 sous, 2. Les soldats peuvent se spécialiser ou élargir leurs compétences, et 3. Chaque faction à sa propre manière d'entrainer ses troupes. Allons voir ces 3 règles de plus près.^^La première. Temps et argent sont de mise pour obtenir un guerrier d'élite. Dans Warband, c'est le reflet du niveau de votre armée. Pour obtenir un chevalier, il vous faudra du temps en partant d'un simple paysan. Et l'argent nécessaire à son entrainement n'en sera que plus conséquent, mais une unité d'élite digne de ce nom doit également être équipée en conséquence. Vos deniers serviront également à payer cela. En partant d'une Recrue, il vous faudra payer 6 fois avant qu'elle ne soit une unité d'élite accompli. Chaque étape d'évolution est appelé un 'tier'. Chaque unité à 7 tiers, l'unité la plus puissante sera « l'unité du plus haut tier ». Toutes ces étapes de l'arbre des troupes représentes donc l'ensemble des étapes par lesquelles passera un soldat dans toute une vie à votre service.^^La seconde règle réside dans le fait que vos soldats ont leur propres désirs d'évolution. Evidemment, si vous souhaitez devenir un Robin des Bois (archer vétéran), il vous faudra très longtemps pour y arriver. Si malgré tout, en cours de carrière, vous découvrez que c'est très lassant de resté en arrière à tirer sur des cibles mouvants, et que ça à l'air bien plus fun de jarreter du péon. Vous pourrez stopper votre formation d'archer pour apprendre à tenir une véritable épée. Bien sur, vous ne serez pas aussi bon qu'un guerrier ayant suivi une formation d'infanterie du début à la fin, mais vous saurez combiner vos talents d'archer à ceux de fantassin. Ces possibilités sont celles que la vraie vie vous propose, et c'est par ses grandes possibilités que l'arbre des troupes le reflète. Vous pouvez commencer une formation et prendre une orientation différente par la suite.^^La dernière règle est que chaque faction à son propre type d'entrainement. Dans l'arbre de troupes, ceci se traduit par des unités d'élite très différentes d'un royaume à l'autre. Par exemple :^^Swadia : Basée sur les Royaumes d'Angleterre et de France que nous connaissons, peut spécialiser ses troupes en chevalier et en arc-long (tireur d'élite). Traduit par des troupes armées d'armes d'Hast et d'Arc de grande taille. Cependant leur Piquier ne sont pas entrainer à devenir chevalier. Les chevaliers s'armeront de lance et monteront à cheval, au-lieu de rester à pied. Certains soldats porteront une Claymore à deux-mains. Ils seront meilleurs que les piquiers, mais pas aussi bons que des chevaliers.^^Vaegir : Basé sur les premiers empires Russes, leur spécialité réside en la formation de puissants chevaliers. Cependant, ils ont appris une ou deux astuces khergites, particulièrement en ce qui concerne l'archerie montée. Leur faiblesse, l'infanterie piétonne.^^Khergit : Ils sont les Mongols de Calradia. Ils vivent et meurent sur leur monture, il n'est donc pas difficile de comprendre pourquoi leur unités les plus évoluées sont à cheval. Ils se spécialisent rapidement en arme à une main ou en archerie.^^Nord : Basés sur les scandinaves et les anciens vikings. Ils sont l'inverse des Khergits. Pour eux, la véritable force d'un homme ne s'exprime pas à cheval. Ils se spécialisent en manieurs de haches et de lances, et sont également très forts pour les lancer sur leurs ennemis. Il y a également des archers dans leurs rangs, mais ils sont très mal considérés.^^Rhodok : Basé sur de grande cités italiennes comme Venise ou Gènes, tout comme les Nords, ils ne sont pas adeptes des montures. Ils compensent cela par une très grande maîtrise des épées à une main et manient une large palette d'arbalètes. Ils peuvent également apprendre à maîtriser les lances.^^Sarranide : Basé sur l'Empire Ottoman et l'Egypte Islamique, ils dégagent leur chemin à coup de cimeterre. Tout comme les Khergits, ils possèdent de très bon archers montés, mais également des chevaliers lourds. Leur plus grande faiblesse, la Masse.^^Mercenaires : Basés sur le Saint-Empire Romano-Germanique. Puisqu'ils n'ont pas de terre, ils se vendent au plus offrant. L
ip_morale|Moral
ip_morale_text|Le moral représente la capacité et la motivation des soldats à faire preuve de courage, d'endurance et de discipline nécessaires au combat et à la marche. Il ne faut pas le confondre avec l'humeur des soldats. Des soldats d'élite peuvent se plaindre des rigueurs de la campagne, ce n'est pas pour autant qu'ils se disperseront à la première escarmouche. D'un autre côté, un commandant qui donnerait à ses hommes tout ce qu'ils désirent pourrait découvrir qu'ils sont devenus mous et s'éparpillent à la première escarmouche.^^Le moral a une grande influence sur le comportement d'une armée au combat, il détermine l'ardeur des combattants, et leur tendance à tourner les talons si la bataille venait à mal tourner. Le moral influe également sur la vitesse de marche, une armée démotivée se déplacera moins vite car les hommes seront moins prompts à dépasser leurs limites, ils feront des pauses plus souvent et hésiteront plus longtemps à repartir. Enfin, une armée dont le moral est vraiment bas connaîtra sans doute des désertions.^^Le moral dépend de plusieurs facteurs, dont la plupart relèvent du bon sens. Par exemple, un chef charismatique qui a la réputation de toujours conduire ses hommes à la victoire motivera d'autant plus facilement ces derniers. Celui qui nourrit bien ses subalternes et les paie en temps et en heure montre par là qu'il se préoccupe de leur bien-être, et ses ordres seront donc mieux suivis.^^Un autre facteur, peut-être moins évident, est celui de la cohésion de l'armée. Dans une petite troupe armée, chacun combattra d'autant plus vaillamment qu'il aurait honte de passer pour un couard auprès de ses camarades et de son chef. À l'inverse, dans une grande armée, le commandant a bien moins le temps et l'occasion d'apprendre à connaître ses hommes, et encore moins de les surveiller ou de régler leurs différends. Des batailles régulières sont idéales pour resserrer les liens entre les hommes, alors que de longues périodes de calme engendrent l'ennui et la discorde.^^Le rapport de moral, accessible en cliquant sur le bouton "Rapports", vous indique l'état actuel du moral de vos troupes ainsi que tous les facteurs susceptibles de l'influencer.
ip_economy|Économie
ip_economy_text|Les villes et villages de Calradia ont besoin de toutes sortes de choses pour que leur population soit en bonne santé et productive. Le plus important est bien entendu la nourriture. La culture la plus répandue est celle des céréales, mais les gens sont également friands de viande, de poisson et de fromage. Et préserver la nourriture est aussi important que de la produire, c'est pourquoi le sel est extrêmement recherché. Après la nourriture vient l'habillement, qu'il s'agisse de laine épaisse, de lin léger, ou d'un luxueux velours. Enfin, les gens ont besoin de toutes sortes d'objets, de cuir ou de fer, de poteries, et évidemment d'armes, d'armures et de chevaux pour combattre.^^La plupart des produits agricoles s'obtiennent dans les villages, tandis que dans les villes les artisans se spécialisent dans la manufacture. Mais tout ne se trouve pas au même endroit, ce qui fait qu'en Calradia la clé de la prospérité est le commerce, entre villes et villages d'une part, mais aussi entre les grandes villes.^^Quand le commerce prospère, les marchandises sont abondantes et accessibles, le peuple est heureux et bien portant, et de toutes parts des gens immigrent. Une telle ville produit et consomme alors davantage, et son seigneur s'en voit richement récompensé par les taxes qu'il peut prélever. En revanche, quand le commerce s'essouffle, la population doit aller chercher du travail ailleurs, et l'économie s'en voit appauvrie. Il est donc dans l'intérêt de tout dirigeant de protéger les routes commerciales des bandits et ennemis de la faction. Un marchand futé, toutefois, peut aller rechercher des villes devenues isolées du reste du pays, où il pourra tirer profit des différences de prix.^^Comme les paysans préfèrent en général aller vendre leurs marchandises dans les villes, les marchés de villages sont des endroits tranquilles où les villageois achètent bon marché et vendent cher. Les marchands sérieux iront directement en ville pour réaliser des profits, même s'il arrive parfois de faire un court arrêt dans un village pour quelques achats.^^Pour obtenir des informations sur l'économie d'une région, le plus simple est de s'adresser à un maître de Guilde dans une ville. D'autres informations peuvent être glanées auprès des passants, mais il faut garder à l'esprit qu'ils ne connaîtront probablement pas grand chose à tout ce qui ne concerne pas leurs occupations habituelles.
ip_courtship|Relations de séduction
ip_courtship_text|Les joueurs peuvent souhaiter se marier avec un membre d'une noble famille. Le mariage n'est en soi pas nécessaire pour acquérir gloire et fortune, mais ce peut être un moyen intéressant pour améliorer ses relations avec les seigneurs et établir la possibilité de réclamer le trône.^^Les conditions de ce mariage sont différentes selon le sexe du personnage. Un personnage masculin devra généralement faire à sa dame une cour en bonne et due forme. Il devra d'abord se faire une réputation au sein de l'aristocratie de Calradia, être en bons termes avec les parents ou tuteurs de sa promise, et bien entendu courtiser sa future épouse suivant les us et coutumes locales. S'il s'impatiente, il peut tenter d'accélérer les choses, mais ses relations avec les autres seigneurs s'en ressentiront.^^Un personnage masculin ne doit pas oublier que les autres seigneurs seront sans doute en compétition avec lui pour gagner l'affection des dames de la faction. De plus, les goûts d'une Dame sont en général imprévisibles, et il est donc possible que la dame de son coeur ne l'apprécie pas. Les romances, à Calradia comme ailleurs, ne sont pas toujours payées de retour. Bien entendu, il est possible de gagner le coeur d'une Dame en faisant fi des bonnes manières, mais encore une fois, cela peut avoir un sérieux impact sur votre réputation.^^Avant d'entamer la moindre cour, il vaut donc mieux s'impliquer dans la vie sociale de l'aristocratie, en participant aux fêtes et aux tournois. De plus, les ménestrels itinérants peuvent vous être très utiles dans ce genre d'entreprise, et vous tenir au courant des derniers commérages de la noblesse.^^Les personnages féminins peuvent également chercher mariage, mais elles doivent garder à l'esprit que dans la société très traditionnelle qu'est celle de Calradia, avoir choisi le chemin de l'aventure est très mal vu. Une telle femme doit donc avant tout trouver un homme suffisamment ouvert d'esprit pour accepter de l'épouser.^^D'un autre côté, une femme n'a pas besoin de respecter de fastidieux rituels de cour, et peut tirer d'un mariage un profit bien plus important que son équivalent masculin. Pour une aventurière, le mariage peut constituer une façon rapide de s'élever dans la société, et d'ailleurs un personnage peu scrupuleux peut être capable d'utiliser son mari comme un simple tremplin pour ses ambitions politiques.
ip_politics|Politique
