itm_no_item|OBJET INVALIDE
itm_no_item_pl|OBJETS INVALIDES
itm_tutorial_spear|Lance
itm_tutorial_spear_pl|Lances
itm_tutorial_club|Gourdin
itm_tutorial_club_pl|Gourdins
itm_tutorial_battle_axe|Hache de combat
itm_tutorial_battle_axe_pl|Haches de combat
itm_tutorial_arrows|Flèches
itm_tutorial_arrows_pl|Flèches
itm_tutorial_bolts|Carreaux
itm_tutorial_bolts_pl|Carreaux
itm_tutorial_short_bow|Arc court
itm_tutorial_short_bow_pl|Arcs courts
itm_tutorial_crossbow|Arbalète
itm_tutorial_crossbow_pl|Arbalètes
itm_tutorial_throwing_daggers|Dagues de jet
itm_tutorial_throwing_daggers_pl|Dagues de jet
itm_tutorial_saddle_horse|Cheval de selle
itm_tutorial_saddle_horse_pl|Chevaux de selle
itm_tutorial_shield|Grand écu
itm_tutorial_shield_pl|Grands écus
itm_tutorial_staff_no_attack|Bâton
itm_tutorial_staff_no_attack_pl|Bâtons
itm_tutorial_staff|Bâton
itm_tutorial_staff_pl|Bâtons
itm_tutorial_sword|Épée
itm_tutorial_sword_pl|Épées
itm_tutorial_axe|Hache
itm_tutorial_axe_pl|Haches
itm_tutorial_dagger|Dague
itm_tutorial_dagger_pl|Dagues
itm_horse_meat|Viande de cheval
itm_horse_meat_pl|Viandes de cheval
itm_practice_sword|Épée d'entraînement
itm_practice_sword_pl|Épées d'entraînement
itm_heavy_practice_sword|Épée lourde d'entraînement
itm_heavy_practice_sword_pl|Épées lourdes d'entraînement
itm_practice_dagger|Dague d'entraînement
itm_practice_dagger_pl|Dagues d'entraînement
itm_practice_axe|Hache d'entraînement
itm_practice_axe_pl|Haches d'entraînement
itm_arena_axe|Hache
itm_arena_axe_pl|Haches
itm_arena_sword|Épée
itm_arena_sword_pl|Épées
itm_arena_sword_two_handed|Épée à deux mains
itm_arena_sword_two_handed_pl|Épées à deux mains
itm_arena_lance|Lance
itm_arena_lance_pl|Lances
itm_practice_staff|Bâton d'entraînement
itm_practice_staff_pl|Bâtons d'entraînement
itm_practice_lance|Lance d'entraînement
itm_practice_lance_pl|Lances d'entraînement
itm_practice_shield|Bouclier d'entraînement
itm_practice_shield_pl|Boucliers d'entraînement
itm_practice_bow|Arc d'entraînement
itm_practice_bow_pl|Arcs d'entraînement
itm_practice_crossbow|Arbalète d'entraînement
itm_practice_crossbow_pl|Arbalètes d'entraînement
itm_practice_javelin|Javelot d'entraînement
itm_practice_javelin_pl|Javelots d'entraînement
itm_practice_javelin_melee|Javeline d'entraînement
itm_practice_javelin_melee_pl|Javelines d'entraînement
itm_practice_throwing_daggers|Dagues de jet
itm_practice_throwing_daggers_pl|Dagues de jet
itm_practice_throwing_daggers_100_amount|Dagues de jet
itm_practice_throwing_daggers_100_amount_pl|Dagues de jet
itm_practice_horse|Cheval d'entraînement
itm_practice_horse_pl|Chevaux d'entraînement
itm_practice_arrows|Flèches d'entraînement
itm_practice_arrows_pl|Flèches d'entraînement
itm_practice_bolts|Carreaux d'entraînement
itm_practice_bolts_pl|Carreaux d'entraînement
itm_practice_arrows_10_amount|Flèches d'entraînement
itm_practice_arrows_10_amount_pl|Flèches d'entraînement
itm_practice_arrows_100_amount|Flèches d'entraînement
itm_practice_arrows_100_amount_pl|Flèches d'entraînement
itm_practice_bolts_9_amount|Carreaux d'entraînement
itm_practice_bolts_9_amount_pl|Carreaux d'entraînement
itm_practice_boots|Bottes d'entraînement
itm_practice_boots_pl|Bottes d'entraînement
itm_red_tourney_armor|Armure de tournoi rouge
itm_red_tourney_armor_pl|Armures de tournoi rouges
itm_blue_tourney_armor|Armure de tournoi bleue
itm_blue_tourney_armor_pl|Armures de tournoi bleues
itm_green_tourney_armor|Armure de tournoi verte
itm_green_tourney_armor_pl|Armures de tournoi vertes
itm_gold_tourney_armor|Armure de tournoi dorée
itm_gold_tourney_armor_pl|Armures de tournoi dorées
itm_red_tourney_helmet|Heaume de tournoi rouge
itm_red_tourney_helmet_pl|Heaumes de tournoi rouges
itm_blue_tourney_helmet|Heaume de tournoi bleu
itm_blue_tourney_helmet_pl|Heaumes de tournoi bleus
itm_green_tourney_helmet|Heaume de tournoi vert
itm_green_tourney_helmet_pl|Heaumes de tournoi verts
itm_gold_tourney_helmet|Heaume de tournoi doré
itm_gold_tourney_helmet_pl|Heaumes de tournoi dorés
itm_arena_shield_red|Bouclier
itm_arena_shield_red_pl|Boucliers
itm_arena_shield_blue|Bouclier
itm_arena_shield_blue_pl|Boucliers
itm_arena_shield_green|Bouclier
itm_arena_shield_green_pl|Boucliers
itm_arena_shield_yellow|Bouclier
