trp_multiplayer_profile_troop_male|Profil multijoueur homme
trp_multiplayer_profile_troop_male_pl|Profils multijoueurs hommes
trp_multiplayer_profile_troop_female|Profil multijoueur femme
trp_multiplayer_profile_troop_female_pl|Profils multijoueurs femmes
trp_temp_troop|Troupe temporaire
trp_temp_troop_pl|Troupes temporaires
trp_find_item_cheat|triche trouver objet
trp_find_item_cheat_pl|triches trouver objets
trp_random_town_sequence|Séquence aléatoire villes
trp_random_town_sequence_pl|Séquence aléatoire villes
trp_tournament_participants|Participants au tournoi
trp_tournament_participants_pl|Participants au tournoi
trp_tutorial_maceman|Seti la masse
trp_tutorial_maceman_pl|Seti la masse
trp_tutorial_archer|Ber l'Archer
trp_tutorial_archer_pl|Ber l'Archer
trp_tutorial_swordsman|Bob l'Épéiste
trp_tutorial_swordsman_pl|Bob l'Épéiste
trp_novice_fighter|Novice
trp_novice_fighter_pl|Novices
trp_regular_fighter|Combattant
trp_regular_fighter_pl|Combattants
trp_veteran_fighter|Vétéran
trp_veteran_fighter_pl|Vétérans
trp_champion_fighter|Champion
trp_champion_fighter_pl|Champions
trp_arena_training_fighter_1|Combattant novice
trp_arena_training_fighter_1_pl|Combattants novices
trp_arena_training_fighter_2|Lutteur novice
trp_arena_training_fighter_2_pl|Lutteurs novices
trp_arena_training_fighter_3|Tournoyeur novice
trp_arena_training_fighter_3_pl|Tournoyeurs novices
trp_arena_training_fighter_4|Bretteur
trp_arena_training_fighter_4_pl|Bretteurs
trp_arena_training_fighter_5|Lutteur régulier
trp_arena_training_fighter_5_pl|Lutteurs réguliers
trp_arena_training_fighter_6|Lutteur aguerri
trp_arena_training_fighter_6_pl|Lutteurs aguerris
trp_arena_training_fighter_7|Bretteur expérimenté
trp_arena_training_fighter_7_pl|Bretteurs expérimentés
trp_arena_training_fighter_8|Lutteur vétéran
trp_arena_training_fighter_8_pl|Lutteurs vétérans
trp_arena_training_fighter_9|Tournoyeur aguerri
trp_arena_training_fighter_9_pl|Tournoyeurs aguerris
trp_arena_training_fighter_10|Champion
trp_arena_training_fighter_10_pl|Champions
trp_cattle|Bétail
trp_cattle_pl|Bétail
trp_mercenary_n_townsman|Habitant
trp_mercenary_n_townsman_pl|Habitants
trp_mercenary_n_farmer|Fermier
trp_mercenary_n_farmer_pl|Fermiers
trp_mercenary_n_spiessknecht|Guetteur
trp_mercenary_n_spiessknecht_pl|Guetteurs
trp_mercenary_n_page|Garde de caravane
trp_mercenary_n_page_pl|Gardes de caravane
trp_mercenary_n_armbrust_soldner|Arbalétrier mercenaire
trp_mercenary_n_armbrust_soldner_pl|Arbalétriers mercenaires
trp_mercenary_n_soldner|Épéiste mercenaire
trp_mercenary_n_soldner_pl|Épéistes mercenaires
trp_mercenary_n_ritter|Cavalier mercenaire
trp_mercenary_n_ritter_pl|Cavaliers mercenaires
trp_mercenary_n_komtur|Bretteur mercenaire
trp_mercenary_n_komtur_pl|Bretteurs mercenaires
trp_mercenary_n_komtur_ritter|Cavalerie mercenaire
trp_mercenary_n_komtur_ritter_pl|Cavalerie mercenaires
trp_mercenary_n_extra1|Habitant rebelle
trp_mercenary_n_extra1_pl|Habitants rebelles
trp_mercenary_e_extra1|I1 Habitant rebelle
trp_mercenary_e_extra1_pl|I1 Habitants rebelles
trp_mercenary_e_extra2|I1 Habitant aventureux
trp_mercenary_e_extra2_pl|I1 Habitants aventureuxs
trp_mercenary_e_extra3|I1 Habitant forcé
trp_mercenary_e_extra3_pl|I1 Habitants forcés
trp_mercenary_e_extra4|I1 Habitant voyageur
trp_mercenary_e_extra4_pl|I1 Habitants voyageurs
trp_mercenary_e_extra5|I1 Habitant docile
trp_mercenary_e_extra5_pl|I1 Habitants dociles
trp_mercenaries_end|fin des mercenaires
trp_mercenaries_end_pl|fin des mercenaires
trp_swadian_n_peasant|Recrue Swadienne
trp_swadian_n_peasant_pl|Recrues Swadiennes
trp_swadian_n_militia|Milicien Swadien
trp_swadian_n_militia_pl|Miliciens Swadiens
trp_swadian_n_page|Fantassin Swadien
trp_swadian_n_page_pl|Fantassins Swadiens
trp_swadian_n_archer_militia|Tirailleur Swadien
trp_swadian_n_archer_militia_pl|Tirailleurs Swadiens
trp_swadian_n_ecuyer|Homme d'arme Swadien
trp_swadian_n_ecuyer_pl|Hommes d'arme Swadiens
trp_swadian_n_jacobite|Infanterie Swadienne
trp_swadian_n_jacobite_pl|Infanterie Swadienne
trp_swadian_n_longbowman|Arbalétrier Swadien
trp_swadian_n_longbowman_pl|Arbalétriers Swadiens
trp_swadian_n_chevalier|Chevalier Swadien
trp_swadian_n_chevalier_pl|Chevaliers Swadiens
trp_swadian_n_jock|Sergent Swadien
trp_swadian_n_jock_pl|Sergents Swadiens
trp_swadian_n_selfbow_archer|Tireur d'élite Swadien
trp_swadian_n_selfbow_archer_pl|Tireurs d'élite Swadiens
trp_swadian_n_extra1|Recrue rebelle Swadienne
trp_swadian_n_extra1_pl|Recrues rebelles Swadiennes
trp_swadian_n_extra2|Recrue aventureuse Swadienne
trp_swadian_n_extra2_pl|Recrues aventureuses Swadiennes
trp_swadian_n_extra3|Recrue forcée Swadienne
trp_swadian_n_extra3_pl|Recrues forcées Swadiennes
trp_swadian_n_extra4|Recrue voyageur Swadienne
trp_swadian_n_extra4_pl|Recrues voyageurs Swadiennes
trp_swadian_n_extra5|Recrue docile Swadienne
trp_swadian_n_extra5_pl|Recrues dociles Swadiennes
trp_swadian_r_peasant|I1 Paysan Swadien
trp_swadian_r_peasant_pl|I1 Paysans Swadiens
trp_swadian_r_militia|I2 Milicien Swadien
trp_swadian_r_militia_pl|I2 Miliciens Swadiens
trp_swadian_r_peasant_archer|A2 Archer Swadien
trp_swadian_r_peasant_archer_pl|A2 Archers Swadiens
trp_swadian_r_page|I3 Fantassin Swadien
trp_swadian_r_page_pl|I3 Fantassins Swadiens
trp_swadian_r_sergeant_at_arms|I3 Sergent d'armes Swadien
trp_swadian_r_sergeant_at_arms_pl|A3 Sergent d'armess Swadiens
trp_swadian_r_archer_militia|A3 Archer qualifié Swadien
trp_swadian_r_archer_militia_pl|A3 Archers qualifiés Swadiens
trp_swadian_r_hobilar|C4 Hobelar Swadien
trp_swadian_r_hobilar_pl|C4 Hobelars Swadiens
trp_swadian_r_ecuyer|C4 Écuyer Swadien
trp_swadian_r_ecuyer_pl|C4 Écuyers Swadiens
trp_swadian_r_piquier|I4 Piquier Swadien
trp_swadian_r_piquier_pl|I4 Piquiers Swadiens
trp_swadian_r_jacobite|I4 Jacobite Swadien
trp_swadian_r_jacobite_pl|I4 Jacobites Swadiens
trp_swadian_r_longbowman|A4 Arbalétrier Swadien
trp_swadian_r_longbowman_pl|A4 Arbalétriers Swadiens
trp_swadian_r_chevalier|C5 Chevalier Swadien
trp_swadian_r_chevalier_pl|C5 Chevaliers Swadiens
trp_swadian_r_jock|I5 Sergent Swadien
trp_swadian_r_jock_pl|I5 Sergents Swadiens
trp_swadian_r_selfbow_archer|A5 Tireur d'élite Swadien
trp_swadian_r_selfbow_archer_pl|A5 Tireurs d'élite Swadiens
trp_swadian_r_chevalier_banneret|C6 Grand Chevalier Swadien
trp_swadian_r_chevalier_banneret_pl|C6 Grands Chevaliers Swadiens
trp_swadian_r_extra1|I1 Paysan rebelle Swadien
trp_swadian_r_extra1_pl|I1 Paysans rebelles Swadiens
trp_swadian_r_extra2|I1 Paysan aventureux Swadien
trp_swadian_r_extra2_pl|I1 Paysans aventureux Swadiens
trp_swadian_r_extra3|I1 Paysan forcé Swadien
trp_swadian_r_extra3_pl|I1 Paysans forcés Swadiens
trp_swadian_r_extra4|I1 Paysan voyageur Swadien
trp_swadian_r_extra4_pl|I1 Paysans voyageurs Swadiens
trp_swadian_r_extra5|I1 Paysan docile Swadien
trp_swadian_r_extra5_pl|I1 Paysans dociles Swadiens
trp_swadian_e_peasant|I1 Paysan Swadien
trp_swadian_e_peasant_pl|I1 Paysan Swadiens
trp_swadian_e_militia|I2 Milicien Swadien
trp_swadian_e_militia_pl|I2 Miliciens Swadiens
trp_swadian_e_peasant_archer|A2 Paysan archer Swadien
trp_swadian_e_peasant_archer_pl|A2 Paysans archers Swadiens
trp_swadian_e_vougier|I3 Vougier Swadien
trp_swadian_e_vougier_pl|I3 Vougier Swadiens
trp_swadian_e_page|I3 Fantassin Swadien
trp_swadian_e_page_pl|I3 Fantassins Swadiens
trp_swadian_e_sergeant_at_arms|A3 Sergent d'armes Swadien
trp_swadian_e_sergeant_at_arms_pl|A3 Sergents d'armes Swadiens
trp_swadian_e_archer_militia|A3 Tirailleur Swadien
trp_swadian_e_archer_militia_pl|A3 Tirailleurs Swadiens
trp_swadian_e_piquier|I4 Piquier Swadien
trp_swadian_e_piquier_pl|I4 Piquiers Swadiens
trp_swadian_e_ecuyer|C4 Ecuyer Swadien
trp_swadian_e_ecuyer_pl|C4 Ecuyers Swadiens
trp_swadian_e_jacobite|I4 Infanterie Swadienne
trp_swadian_e_jacobite_pl|I4 Infanterie Swadienne
trp_swadian_e_guard|A4 Garde Swadien
trp_swadian_e_guard_pl|A4 Gardes Swadiens
trp_swadian_e_longbowman|A4 Grand archer Swadien
trp_swadian_e_longbowman_pl|A4 Grands archers Swadiens
trp_swadian_e_tracker|A4 Traqueur Swadien
trp_swadian_e_tracker_pl|A4 Traqueurs Swadiens
trp_swadian_e_chevalier|C5 Chevalier Swadien
trp_swadian_e_chevalier_pl|C5 Chevaliers Swadiens
trp_swadian_e_hobilar|C5 Hobelar Swadien
trp_swadian_e_hobilar_pl|C5 Hobelars Swadiens
trp_swadian_e_jock|I5 Sergent Swadien
trp_swadian_e_jock_pl|I5 Sergents Swadiens
trp_swadian_e_man_at_arms|C5 Homme d'arme Swadien
trp_swadian_e_man_at_arms_pl|C5 Hommes d'armes Swadiens
trp_swadian_e_sheriff|A5 Sheriff Swadien
trp_swadian_e_sheriff_pl|A5 Sheriffs Swadiens
trp_swadian_e_selfbow_archer|A5 Archer vétéran Swadien
trp_swadian_e_selfbow_archer_pl|A5 Archers vétérans Swadiens
trp_swadian_e_skirmisher|A5 Escarmoucheur Swadien
trp_swadian_e_skirmisher_pl|A5 Escarmoucheurs Swadiens
trp_swadian_e_chevalier_banneret|C6 Grand Chevalier Swadien
trp_swadian_e_chevalier_banneret_pl|C6 Grands Chevaliers Swadiens
trp_swadian_e_highlander|I6 Highlander Swadien
trp_swadian_e_highlander_pl|I6 Highlander Swadiens
trp_swadian_e_lancer|C6 Lancier Swadien
trp_swadian_e_lancer_pl|C6 Lancier Swadiens
trp_swadian_e_yeoman_archer|A6 Archer Yeoman Swadien
trp_swadian_e_yeoman_archer_pl|A6 Archers Yeomen Swadiens
trp_swadian_e_baron_mineures|C7 Baron Swadien
trp_swadian_e_baron_mineures_pl|C7 Barons Swadiens
trp_swadian_e_retinue_longbowman|A7 Archer d'élite Swadien
trp_swadian_e_retinue_longbowman_pl|A7 Archers d'élite Swadiens
trp_swadian_e_extra1|I1 Paysan rebelle Swadien
trp_swadian_e_extra1_pl|I1 Paysans rebelles Swadiens
trp_swadian_e_extra2|I1 Paysan aventureux Swadien
trp_swadian_e_extra2_pl|I1 Paysans aventureux Swadiens
trp_swadian_e_extra3|I1 Paysan forcé Swadien
trp_swadian_e_extra3_pl|I1 Paysans forcés Swadiens
trp_swadian_e_extra4|I1 Paysan voyageur Swadien
trp_swadian_e_extra4_pl|I1 Paysans voyageurs Swadiens
trp_swadian_e_extra5|I1 Paysan docile Swadien
trp_swadian_e_extra5_pl|I1 Paysans dociles Swadiens
trp_swadian_messenger|Messager Swadien
trp_swadian_messenger_pl|Messagers Swadiens
trp_swadian_deserter|Déserteur Swadien
trp_swadian_deserter_pl|Déserteurs Swadiens
trp_swadian_prison_guard|Geôlier
trp_swadian_prison_guard_pl|Geôliers
trp_swadian_castle_guard|Garde
trp_swadian_castle_guard_pl|Gardes
trp_vaegir_n_kholop|Recrue Vaegir
trp_vaegir_n_kholop_pl|Recrues Vaegirs
trp_vaegir_n_otrok|Fantassin Vaegir
trp_vaegir_n_otrok_pl|Fantassins Vaegirs
trp_vaegir_n_kazak|Garde Vaegir
trp_vaegir_n_kazak_pl|Gardes Vaegirs
trp_vaegir_n_kmet|Tirailleur Vaegir
trp_vaegir_n_kmet_pl|Tirailleurs Vaegirs
trp_vaegir_n_yesaul|Cavalier Vaegir
trp_vaegir_n_yesaul_pl|Cavaliers Vaegirs
trp_vaegir_n_plastun|Infanterie Vaegir
trp_vaegir_n_plastun_pl|Infanterie Vaegir
trp_vaegir_n_zalstrelshik|Archer Vaegir
trp_vaegir_n_zalstrelshik_pl|Archers Vaegirs
trp_vaegir_n_pansirniy_kazan|Chevalier Vaegir
trp_vaegir_n_pansirniy_kazan_pl|Chevaliers Vaegirs
trp_vaegir_n_druzhinnik_veteran|Vétéran Vaegir
trp_vaegir_n_druzhinnik_veteran_pl|Vétérans Vaegirs
trp_vaegir_n_luchnik|Tireur d'élite Vaegir
trp_vaegir_n_luchnik_pl|Tireurs d'élite Vaegirs
trp_vaegir_n_extra1|Recrue rebelle Vaegir
trp_vaegir_n_extra1_pl|Recrues rebelles Vaegirs
trp_vaegir_n_extra2|Recrue aventureuse Vaegir
trp_vaegir_n_extra2_pl|Recrues aventureuses Vaegirs
trp_vaegir_n_extra3|Recrue forcée Vaegir
trp_vaegir_n_extra3_pl|Recrues forcées Vaegirs
trp_vaegir_n_extra4|Recrue voyageur Vaegir
trp_vaegir_n_extra4_pl|Recrues voyageurs Vaegirs
trp_vaegir_n_extra5|Recrue docile Vaegir
trp_vaegir_n_extra5_pl|Recrues dociles Vaegirs
trp_vaegir_r_kholop|I1 Kholop Vaegir
trp_vaegir_r_kholop_pl|I1 Kholopy Vaegirs
trp_vaegir_r_otrok|I2 Otrok Vaegir
trp_vaegir_r_otrok_pl|I2 Otroki Vaegirs
trp_vaegir_r_pasynok|I2 Pasynok Vaegir
trp_vaegir_r_pasynok_pl|I2 Pasynoki Vaegirs
trp_vaegir_r_kazak|I3 Kazak Vaegir
trp_vaegir_r_kazak_pl|I3 Kazaki Vaegirs
trp_vaegir_r_kmet|A3 Kmet Vaegir
trp_vaegir_r_kmet_pl|A3 Kmety Vaegirs
trp_vaegir_r_grid|I3 Grid' Vaegir
trp_vaegir_r_grid_pl|I3 Gridi Vaegirs
trp_vaegir_r_yesaul|C4 Yesaul Vaegir
