lockitver|DO NOT DELETE THIS LINE! 2896
fac_no_faction|Keine Fraktion
fac_commoners|Gemeine
fac_outlaws|Gesetzlose
fac_neutral|Neutrale
fac_innocents|Unschuldige
fac_merchants|Kaufleute
fac_player_faction|Spielerfraktion
fac_player_supporters_faction|Unterstützer des Spielers
fac_kingdom_1|Königreich Swadien
fac_kingdom_2|Großfürstentum Vaegir
fac_kingdom_3|Khergit Khanat 
fac_kingdom_4|Nord-Königreich
fac_kingdom_5|Rhodok Republik
fac_kingdom_6|Sarranidisches Sultanat
fac_manhunters|Kopfgeldjäger
fac_deserters|Deserteure
fac_mountain_bandits|Gebirgsbanditen
fac_forest_bandits|Waldbanditen
