lockitver|DO NOT DELETE THIS LINE! 2896
itm_no_item|UNGÜLTIGER GEGENSTAND
itm_no_item_pl|UNGÜLTIGER GEGENSTAND
itm_tutorial_spear|Speer
itm_tutorial_spear_pl|Speer
itm_tutorial_club|Knüppel
itm_tutorial_club_pl|Knüppel
itm_tutorial_battle_axe|Kampfaxt
itm_tutorial_battle_axe_pl|Kampfaxt
itm_tutorial_arrows|Pfeile
itm_tutorial_arrows_pl|Pfeile
itm_tutorial_bolts|Armbrustbolzen
itm_tutorial_bolts_pl|Armbrustbolzen
itm_tutorial_short_bow|Kurzbogen
itm_tutorial_short_bow_pl|Kurzbogen
itm_tutorial_crossbow|Armbrust
itm_tutorial_crossbow_pl|Armbrust
itm_tutorial_throwing_daggers|Wurfdolche
itm_tutorial_throwing_daggers_pl|Wurfdolche
itm_tutorial_saddle_horse|Reitpferd
itm_tutorial_saddle_horse_pl|Reitpferd
itm_tutorial_shield|Langspitzschild
itm_tutorial_shield_pl|Langspitzschild
itm_tutorial_staff_no_attack|Stab
itm_tutorial_staff_no_attack_pl|Stab
itm_tutorial_staff|Stab
itm_tutorial_staff_pl|Stab
itm_tutorial_sword|Schwert
itm_tutorial_sword_pl|Schwert
itm_tutorial_axe|Axt
itm_tutorial_axe_pl|Axt
itm_tutorial_dagger|Dolch
itm_tutorial_dagger_pl|Dolch
itm_horse_meat|Pferdefleisch
itm_horse_meat_pl|Pferdefleisch
itm_practice_sword|Übungsschwert
itm_practice_sword_pl|Übungsschwert
itm_practice_dagger|Übungsdolch
itm_practice_dagger_pl|Übungsdolch
itm_practice_axe|Übungsaxt
itm_practice_axe_pl|Übungsaxt
itm_arena_axe|Axt
itm_arena_axe_pl|Axt
itm_arena_sword|Schwert
itm_arena_sword_pl|Schwert
itm_arena_sword_two_handed|Bidenhänder
itm_arena_sword_two_handed_pl|Bidenhänder
itm_arena_lance|Lanze
itm_arena_lance_pl|Lanze
itm_practice_staff|Übungsstab
itm_practice_staff_pl|Übungsstab
itm_practice_lance|Übungslanze
itm_practice_lance_pl|Übungslanze
itm_practice_shield|Übungsschild
itm_practice_shield_pl|Übungsschild
itm_practice_bow|Übungsbogen
itm_practice_bow_pl|Übungsbogen
itm_practice_crossbow|Übungsarmbrust
itm_practice_crossbow_pl|Übungsarmbrust
itm_practice_javelin|Übungswurfspeere
itm_practice_javelin_pl|Übungswurfspeere
itm_practice_javelin_melee|
itm_practice_javelin_melee_pl|
itm_practice_throwing_daggers|Wurfdolche
itm_practice_throwing_daggers_pl|Wurfdolche
itm_practice_throwing_daggers_100_amount|Wurfdolche
itm_practice_throwing_daggers_100_amount_pl|Wurfdolche
itm_practice_horse|Übungspferd
itm_practice_horse_pl|Übungspferd
itm_practice_arrows|Übungspfeile
itm_practice_arrows_pl|Übungspfeile
itm_practice_bolts|Übungsbolzen
itm_practice_bolts_pl|Übungsbolzen
itm_practice_arrows_10_amount|Übungspfeile
itm_practice_arrows_10_amount_pl|Übungspfeile
itm_practice_arrows_100_amount|Übungspfeile
itm_practice_arrows_100_amount_pl|Übungspfeile
itm_practice_bolts_9_amount|Übungspfeile
itm_practice_bolts_9_amount_pl|Übungspfeile
itm_practice_boots|Übungsstiefel
itm_practice_boots_pl|Übungsstiefel
itm_arena_shield_red|Roter Schild
itm_arena_shield_red_pl|Roter Schild
itm_arena_shield_blue|Blauer Schild
itm_arena_shield_blue_pl|Blauer Schild
itm_arena_shield_green|Grüner Schild
itm_arena_shield_green_pl|Grüner Schild
itm_arena_shield_yellow|Gelber Schild
itm_arena_shield_yellow_pl|Gelber Schild
itm_arena_armor_white|Weiße Arenarüstung
itm_arena_armor_white_pl|Weiße Arenarüstung
itm_arena_armor_red|Rote Arenarüstung
itm_arena_armor_red_pl|Rote Arenarüstung
itm_arena_armor_blue|Blaue Arenarüstung
itm_arena_armor_blue_pl|Blaue Arenarüstung
itm_arena_armor_green|Grüne Arenarüstung
itm_arena_armor_green_pl|Grüne Arenarüstung
itm_arena_armor_yellow|Gelbe Arenarüstung
itm_arena_armor_yellow_pl|Gelbe Arenarüstung
itm_arena_tunic_white|Weißer Arenawaffenrock
itm_arena_tunic_white_pl|Weißer Arenawaffenrock
itm_arena_tunic_red|Roter Arenawaffenrock
itm_arena_tunic_red_pl|Roter Arenawaffenrock
itm_arena_tunic_blue|Blauer Arenawaffenrock
itm_arena_tunic_blue_pl|Blauer Arenawaffenrock
itm_arena_tunic_green|Grüner Arenawaffenrock
itm_arena_tunic_green_pl|Grüner Arenawaffenrock
itm_arena_tunic_yellow|Gelber Arenawaffenrock
itm_arena_tunic_yellow_pl|Gelber Arenawaffenrock
itm_arena_helmet_red|Roter Arenahelm
itm_arena_helmet_red_pl|Roter Arenahelm
itm_arena_helmet_blue|Blauer Arenahelm
itm_arena_helmet_blue_pl|Blauer Arenahelm
itm_arena_helmet_green|Grüner Arenahelm
itm_arena_helmet_green_pl|Grüner Arenahelm
itm_arena_helmet_yellow|Gelber Arenahelm
itm_arena_helmet_yellow_pl|Gelber Arenahelm
itm_steppe_helmet_white|Weißer Steppenhelm
itm_steppe_helmet_white_pl|Weißer Steppenhelm
itm_steppe_helmet_red|Roter Steppenhelm
itm_steppe_helmet_red_pl|Roter Steppenhelm
itm_steppe_helmet_blue|Blauer Steppenhelm
itm_steppe_helmet_blue_pl|Blauer Steppenhelm
itm_steppe_helmet_green|Grüner Steppenhelm
itm_steppe_helmet_green_pl|Grüner Steppenhelm
itm_steppe_helmet_yellow|Gelber Steppenhelm
itm_steppe_helmet_yellow_pl|Gelber Steppenhelm
itm_tourney_helm_white|Weißer Turnierhelm
itm_tourney_helm_white_pl|Weißer Turnierhelm
itm_tourney_helm_red|Roter Turnierhelm
itm_tourney_helm_red_pl|Roter Turnierhelm
itm_tourney_helm_blue|Blauer Turnierhelm
itm_tourney_helm_blue_pl|Blauer Turnierhelm
itm_tourney_helm_green|Grüner Turnierhelm
itm_tourney_helm_green_pl|Grüner Turnierhelm
itm_tourney_helm_yellow|Gelber Turnierhelm
itm_tourney_helm_yellow_pl|Gelber Turnierhelm
itm_arena_turban_red|Arena-Turban
itm_arena_turban_red_pl|Arena-Turban
itm_arena_turban_blue|Arena-Turban
itm_arena_turban_blue_pl|Arena-Turban
itm_arena_turban_green|Arena-Turban
itm_arena_turban_green_pl|Arena-Turban
itm_arena_turban_yellow|Arena-Turban
itm_arena_turban_yellow_pl|Arena-Turban
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad Herennium
itm_book_persuasion_pl|Rhetorica ad Herennium
itm_book_leadership|Das Leben von Alixenus dem Großen
itm_book_leadership_pl|Das Leben von Alixenus dem Großen
itm_book_intelligence|Aufsätze über Logik
itm_book_intelligence_pl|Aufsätze über Logik
itm_book_trade|Eine Abhandlung über den Wert der Dinge
itm_book_trade_pl|Eine Abhandlung über den Wert der Dinge
itm_book_weapon_mastery|Über die Kunst des Schwertkampfes
itm_book_weapon_mastery_pl|Über die Kunst des Schwertkampfes
itm_book_engineering|Methode mechanischer Theoreme
itm_book_engineering_pl|Methode mechanischer Theoreme
itm_book_wound_treatment_reference|Das Buch der Wundbehandlung
itm_book_wound_treatment_reference_pl|Das Buch der Wundbehandlung
itm_book_training_reference|Waffenleitfaden
itm_book_training_reference_pl|Waffenleitfaden
itm_book_surgery_reference|Das große Buch der Heilkunst 
itm_book_surgery_reference_pl|Das große Buch der Heilkunst
itm_siege_supply|Vorräte
itm_siege_supply_pl|Vorräte
itm_quest_wine|Wein
itm_quest_wine_pl|Wein
itm_quest_ale|Bier
itm_quest_ale_pl|Bier
itm_tutorial_sword|Schwert
itm_tutorial_sword_pl|Schwert
itm_tutorial_axe|Axt
itm_tutorial_axe_pl|Axt
itm_tutorial_spear|Speer
itm_tutorial_spear_pl|Speer
itm_tutorial_club|Knüppel
itm_tutorial_club_pl|Knüppel
itm_tutorial_battle_axe|Kampfaxt
itm_tutorial_battle_axe_pl|Kampfaxt
itm_tutorial_arrows|Pfeile
itm_tutorial_arrows_pl|Pfeile
itm_tutorial_bolts|Armbrustbolzen
itm_tutorial_bolts_pl|Armbrustbolzen
itm_tutorial_short_bow|Kurzbogen
itm_tutorial_short_bow_pl|Kurzbogen
itm_tutorial_crossbow|Armbrust
itm_tutorial_crossbow_pl|Armbrust
itm_tutorial_throwing_daggers|Wurfdolche
itm_tutorial_throwing_daggers_pl|Wurfdolche
itm_tutorial_saddle_horse|Reitpferd
itm_tutorial_saddle_horse_pl|Reitpferd
itm_tutorial_shield|Langspitzschild
itm_tutorial_shield_pl|Langspitzschild
itm_tutorial_staff_no_attack|Stab
itm_tutorial_staff_no_attack_pl|Stab
itm_tutorial_staff|Stab
itm_tutorial_staff_pl|Stab
itm_practice_sword_heavy|Schweres Übungsschwert
itm_practice_sword_heavy_pl|Schwere Übungsschwerter
itm_book_necronomicon|Necronomicon
itm_book_necronomicon_pl|Necronomicon
itm_book_bible|Heilige Schrift
itm_book_bible_pl|Heilige Schrift
itm_book_prisoner_management|Ramuns Notizen
itm_book_prisoner_management_pl|Ramuns Notizen
itm_book_spotting_reference|Scientia Servandi
itm_book_spotting_reference_pl|Scientia Servandi
itm_book_first_aid_reference|Primo Auxilium
itm_book_first_aid_reference_pl|Primo Auxilium
itm_book_pathfinding_reference|Geschichten aus Calradia
itm_book_pathfinding_reference_pl|Geschichten aus Calradia
itm_book_trade_ledger|Des Händlers Kassenbuch
itm_book_trade_ledger_pl|Des Händlers Kassenbuch
itm_trade_spice|Gewürze
itm_trade_spice_pl|Gewürze
itm_trade_salt|Salz
itm_trade_salt_pl|Salz
itm_trade_oil|Öl
itm_trade_oil_pl|Öl
itm_trade_pottery|Töpferwaren
itm_trade_pottery_pl|Töpferwaren
itm_trade_raw_flax|Flachsbündel
itm_trade_raw_flax_pl|Flachsbündel
itm_trade_linen|Leinen
itm_trade_linen_pl|Leinen
itm_trade_wool|Wolle
itm_trade_wool_pl|Wolle
itm_trade_wool_cloth|Wolltuch
itm_trade_wool_cloth_pl|Wolltuch
itm_trade_raw_silk|Rohseide
itm_trade_raw_silk_pl|Rohseide
itm_trade_raw_dyes|Färbemittel
itm_trade_raw_dyes_pl|Färbemittel
itm_trade_velvet|Samt
itm_trade_velvet_pl|Samt
itm_trade_iron|Eisen
itm_trade_iron_pl|Eisen
itm_trade_tools|Werkzeuge
itm_trade_tools_pl|Werkzeuge
itm_trade_raw_leather|Felle
itm_trade_raw_leather_pl|Felle
itm_trade_leatherwork|Lederwaren
itm_trade_leatherwork_pl|Lederwaren
itm_trade_raw_date_fruit|Datteln
itm_trade_raw_date_fruit_pl|Datteln
itm_trade_furs|Pelze
itm_trade_furs_pl|Pelze
itm_trade_wine|Wein
itm_trade_wine_pl|Wein
itm_trade_ale|Bier
itm_trade_ale_pl|Bier
itm_trade_smoked_fish|Räucherfisch
itm_trade_smoked_fish_pl|Räucherfisch
itm_trade_cheese|Käse
itm_trade_cheese_pl|Käse
itm_trade_honey|Honig
itm_trade_honey_pl|Honig
itm_trade_sausages|Würste
itm_trade_sausages_pl|Würste
itm_trade_cabbages|Kohl
itm_trade_cabbages_pl|Kohl
itm_trade_dried_meat|Rauchfleisch
itm_trade_dried_meat_pl|Rauchfleisch
itm_trade_apples|Äpfel
itm_trade_apples_pl|Äpfel
itm_trade_raw_grapes|Trauben
itm_trade_raw_grapes_pl|Trauben
itm_trade_raw_olives|Oliven
itm_trade_raw_olives_pl|Oliven
itm_trade_grain|Korn
itm_trade_grain_pl|Korn
itm_trade_cattle_meat|Rindfleisch
itm_trade_cattle_meat_pl|Rindfleisch
itm_trade_bread|Brot
itm_trade_bread_pl|Brot
itm_trade_chicken|Hühnchen
itm_trade_chicken_pl|Hühnchen
itm_trade_pork|Schweinefleisch
itm_trade_pork_pl|Schweinefleisch
itm_trade_butter|Butter
itm_trade_butter_pl|Butter
itm_an_gen_boar|Wildschwein
itm_an_gen_boar_pl|Wildschweine
itm_an_gen_chicken|Huhn
itm_an_gen_chicken_pl|Hühner
itm_an_gen_cowblackwhite|Schwarzweiße Kuh
itm_an_gen_cowblackwhite_pl|Schwarzweiße Kühe
itm_an_gen_cowbrown|Braune Kuh
itm_an_gen_cowbrown_pl|Braune Kühe
itm_an_gen_cowbrownwhite|Braunweiße Kuh
itm_an_gen_cowbrownwhite_pl|Braunweiße Kühe
itm_an_gen_cowwhite|Weiße Kuh
itm_an_gen_cowwhite_pl|Weiße Kühe
itm_an_gen_deerfemale|Hirschkuh
itm_an_gen_deerfemale_pl|Hirschkühe
itm_an_gen_deermale|Hirsch
itm_an_gen_deermale_pl|Hirsche
itm_an_gen_deeryoung|Junger Hirsch
itm_an_gen_deeryoung_pl|Junge Hirsche
