lockitver|DO NOT DELETE THIS LINE! 2896
pt_none|none
pt_rescued_prisoners|Befreite Gefangene
pt_enemy|Feind
pt_hero_party|Heldentrupp
pt_village_defenders|Dorfverteidiger
pt_cattle_herd|Viehherde
pt_looters|Plünderer
pt_manhunters|Menschenjäger
pt_steppe_bandits|Steppenbanditen
pt_taiga_bandits|Tundrabanditen
pt_desert_bandits|Wüstenräuber
pt_forest_bandits|Waldbanditen
pt_mountain_bandits|Gebirgsbanditen
pt_sea_raiders|Seeräuber
pt_deserters|Deserteure
pt_merchant_caravan|Händlerkarawane
pt_troublesome_bandits|Räuberische Banditen
pt_bandits_awaiting_ransom|Lösegeld erwartende Banditen
pt_kidnapped_girl|Entführtes Mädchen
pt_village_farmers|Dörfler
pt_spy_partners|Unauffällige Reisende
pt_runaway_serfs|Flüchtige Leibeigene
pt_spy|Gewöhnlicher Städter
pt_sacrificed_messenger|Geopferter Bote
pt_forager_party|Vorhut
pt_scout_party|Späher
pt_patrol_party|Patrouille
pt_messenger_party|Bote
pt_raider_party|Räuber
pt_raider_captives|Gefangene der Räuber
pt_kingdom_caravan_party|Karawane
pt_prisoner_train_party|Gefangenenzug
pt_default_prisoners|Default Prisoners
pt_routed_warriors|Verjagte Feinde
pt_center_reinforcements|Verstärkung
pt_kingdom_hero_party|Kriegstrupp
pt_steppe_bandit_lair|Lager der Steppenbanditen
pt_taiga_bandit_lair|Lager der Tundrabanditen
pt_desert_bandit_lair|Lager der Wüstenräuber
pt_forest_bandit_lair|Lager der Waldbanditen
pt_mountain_bandit_lair|Versteck der Gebirgsbanditen
pt_sea_raider_lair|Anlegestelle der Seeräuber
pt_looter_lair|Entführerversteck
pt_leaded_looters|Räuberbande
pt_dplmc_spouse|Euer Ehegatte
pt_dplmc_gift_caravan|Eure Karawane
pt_dplmc_recruiter|Landbüttel
pt_village_defenders_r|Dorfverteidiger
pt_village_defenders_e|Dorfverteidiger
pt_looters_r|Plünderer
pt_manhunters_r|Kopfgeldjäger
pt_forest_bandits_r|Waldbanditen
pt_taiga_bandits_r|Tundrabanditen
pt_steppe_bandits_r|Steppenbanditen
pt_sea_raiders_r|Seeräuber
pt_mountain_bandits_r|Gebirgsbanditen
pt_desert_bandits_r|Wüstenbanditen
pt_looters_e|Plünderer
pt_manhunters_e|Kopfgeldjäger
pt_forest_bandits_e|Waldbanditen
pt_taiga_bandits_e|Tundrabanditen
pt_steppe_bandits_e|Steppenbanditen
pt_sea_raiders_e|Seeräuber
pt_mountain_bandits_e|Gebirgsbanditen
pt_desert_bandits_e|Wüstenbanditen
pt_merchant_caravan_r|Händlerkarawane
pt_troublesome_bandits_r|Räuberische Banditen
pt_bandits_awaiting_ransom_r|Lösegeld erwartende Banditen
pt_merchant_caravan_e|Merchant Caravan
pt_troublesome_bandits_e|Räuberische Banditen
pt_bandits_awaiting_ransom_e|Lösegeld erwartende Banditen
pt_village_farmers_r|Dorfbauern
pt_spy_partners_r|Unauffällige Reisende
pt_runaway_serfs_r|Flüchtige Leibeigene
pt_village_farmers_e|Dorfbauern
pt_spy_partners_e|Unauffällige Reisende
pt_runaway_serfs_e|Flüchtige Leibeigene
pt_raider_captives_r|Gefangene der Räuber
pt_kingdom_caravan_party_r|Karawane
pt_raider_captives_e|Gefangene der Räuber
pt_kingdom_caravan_party_e|Karawane
pt_sea_traders|Königlicher Händler
pt_sea_traders_r|Königlicher Händler
pt_sea_traders_e|Königlicher Händler
pt_ship|Schiff
pt_default_prisoners_r|Default Prisoners
pt_default_prisoners_e|Default Prisoners
pt_center_reinforcements_r|Verstärkung
pt_center_reinforcements_e|Verstärkung
pt_steppe_bandit_lair_r|Lager der Steppenbanditen
pt_taiga_bandit_lair_r|Lager der Tundrabanditen
pt_desert_bandit_lair_r|Lager der Wüstenbanditen
pt_forest_bandit_lair_r|Lager der Waldbanditen
pt_mountain_bandit_lair_r|Versteck der Gebirgsbanditen
pt_sea_raider_lair_r|Anlegestelle der Seeräuber
pt_looter_lair_r|Entführerversteck
pt_leaded_looters_r|Räuberbande
pt_steppe_bandit_lair_e|Lager der Steppenbanditen
pt_taiga_bandit_lair_e|Lager der Tundrabanditen
pt_desert_bandit_lair_e|Lager der Wüstenbanditen
pt_forest_bandit_lair_e|Lager der Waldbanditen
pt_mountain_bandit_lair_e|Versteck der Gebirgsbanditen
pt_sea_raider_lair_e|Anlegestelle der Seeräuber
pt_looter_lair_e|Entführerversteck
pt_leaded_looters_e|Räuberbande
pt_dplmc_gift_caravan_r|Eure Karawane
pt_dplmc_gift_caravan_e|Eure Karawane
pt_entrench|Verschanzung
pt_reinforcements|Verstärkung
pt_sea_raiders_ships|Seeräuber
pt_sea_raiders_ships_r|Seeräuber
pt_sea_raiders_ships_e|Seeräuber
